D0721149,1286,程式設計(III)
D076201011,1340,計算機結構學
D0762285,1280,微積分(二)
D036720934,2922,第三波戰爭之科技武器
D052354861,2136,經濟學(二)
D082315993,1353,雲端計算
D069171383,2934,醫學與人生
D046149671,2926,創新綠色科技
D035598763,1348,資訊專題研討(二)
D057955971,1340,計算機結構學
D0578094,1308,資料庫系統
D044210427,1278,普通物理-電、磁、光實驗
D0939066,2951,心理學整合與發展
D041135440,1335,計算機演算法
D0546008,2153,統計學(二)實習
D0510828,2138,管理學
D069362903,1313,資訊與網路安全
D086536851,1296,程式設計(III)
D002740874,2135,會計學(二)實習
D0637213,2909,向儒道思想學情緒管理
D052939426,2961,住宅問題研究
D076125386,1280,微積分(二)
D0641584,1362,數位影像安全技術專題
D064247250,2135,會計學(二)實習
D031295000,1281,線性代數
D073885924,1320,機率論
D009737716,1330,數位信號處理導論
D068427542,1282,邏輯設計
D030851160,1306,機率論
D004435815,3767,全民國防教育軍事訓練(二)
D0836150,1298,普通物理-電、磁、光實驗
D035887584,2966,婚姻與家庭
D0589237,1335,計算機演算法
D079840125,2972,行政領導與人脈經營
D076280603,1967,作業系統(二)
D041657089,1334,計算機結構學
D001437249,2135,會計學(二)實習
D052021541,1290,微積分(二)
D0524111,2956,管理面面觀
D052864698,2864,人生哲學
D061289161,2908,旅遊與多元學習	
D0545599,1308,資料庫系統
D044823726,2875,世界音樂文化
D018516111,2158,統計學(二)
D0686010,1305,資料庫系統
D085459540,1341,計算機演算法
D036591848,3013,社會設計專題
D000536288,2898,現代散文
D0678927,1309,機率論
D060184146,2952,心理學整合與發展
D051115708,1327,物件導向設計實習
D0681585,2152,統計學(二)
D021244520,1346,文獻研討(二)
D0596472,3817,iOS APP程式設計
D0745373,3893,與產業接軌─共通核心職能培育
D029212286,1309,機率論
D014113543,1313,資訊與網路安全
D030894853,1280,微積分(二)
D0561490,3020,世界建築欣賞
D009768369,3808,英文科學導讀(二)
D0796229,2998,性別與新飲食文化探索
D0971232,3780,全民國防教育軍事訓練(二)
D023161931,1298,普通物理-電、磁、光實驗
D051424510,1290,微積分(二)
D0805859,2973,行政領導與人脈經營
D008163202,2891,生死與哲學
D0936746,1307,系統程式
D081615872,3006,性別差異與性別平等
D0717910,1347,文獻研討(二)
D084418395,1310,系統分析與設計
D0746740,3779,全民國防教育軍事訓練(二)
D0937390,1274,班級活動
D002137230,2898,現代散文
D0688180,3038,消費者保護法
D091604569,2923,現代軍事學
D089177327,1306,機率論
D059358176,1307,系統程式
D0930294,3011,從人類學看世界
D0930643,2942,音樂、語言與大腦
D054268890,2941,環境教育
D016554528,1317,機率論
D025235364,2923,現代軍事學
D046189783,2924,現代軍事學
D084464101,2877,日本歷史與文化
D068963262,2139,資訊網路
D0994029,2886,台灣民間信仰
D0875978,2002,地理資訊於APPS之應用
D011367192,2929,殺蟲劑與生活
D0501564,1292,邏輯設計
D039900128,2930,認識天然災害
D0987835,2138,管理學
D018942620,2998,性別與新飲食文化探索
D0546191,2922,第三波戰爭之科技武器
D076712630,2157,組織行為
D050402236,2136,經濟學(二)
D0904963,1362,數位影像安全技術專題
D022099433,2863,人生哲學
D0707664,2911,電影與性別
D017930970,1337,計算機結構學
D0816883,2145,經濟學(二)實習
